id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified
9775826,Directory,nuget,9775624,nuget,,/Users/starver/code/public/cpython/Tools/nuget,256,501,20,1545241637,1545524452,1545241637
9775858,Directory,scripts,9775624,scripts,,/Users/starver/code/public/cpython/Tools/scripts,2272,501,20,1545241637,1545524452,1545241637
9775679,Directory,importbench,9775624,importbench,,/Users/starver/code/public/cpython/Tools/importbench,128,501,20,1545241637,1545524452,1545241637
9775626,Directory,buildbot,9775624,buildbot,,/Users/starver/code/public/cpython/Tools/buildbot,192,501,20,1545241637,1545524452,1545241637
9775961,Directory,unittestgui,9775624,unittestgui,,/Users/starver/code/public/cpython/Tools/unittestgui,128,501,20,1545241637,1545524452,1545241637
9775675,Directory,i18n,9775624,i18n,,/Users/starver/code/public/cpython/Tools/i18n,160,501,20,1545241637,1545524452,1545241637
9775835,Directory,pynche,9775624,pynche,,/Users/starver/code/public/cpython/Tools/pynche,704,501,20,1545241637,1545524452,1545241637
9775847,Directory,X,9775835,X,,/Users/starver/code/public/cpython/Tools/pynche/X,128,501,20,1545241637,1545524452,1545241637
9775637,Directory,clinic,9775624,clinic,,/Users/starver/code/public/cpython/Tools/clinic,128,501,20,1545241637,1545524452,1545241637
9775944,Directory,tz,9775624,tz,,/Users/starver/code/public/cpython/Tools/tz,96,501,20,1545241637,1545524452,1545241637
9775934,Directory,test2to3,9775624,test2to3,,/Users/starver/code/public/cpython/Tools/test2to3,224,501,20,1545241637,1545524452,1545241637
9775938,Directory,test,9775934,test,,/Users/starver/code/public/cpython/Tools/test2to3/test,128,501,20,1545241637,1545524452,1545241637
9775941,Directory,test2to3,9775934,test2to3,,/Users/starver/code/public/cpython/Tools/test2to3/test2to3,128,501,20,1545241637,1545524452,1545241637
9770904,Directory,.azure-pipelines,9768633,.azure-pipelines,,/Users/starver/code/public/cpython/.azure-pipelines,384,501,20,1545241636,1545524452,1545241636
9775540,Directory,Python,9768633,Python,,/Users/starver/code/public/cpython/Python,2464,501,20,1545241637,1545524452,1545241637
9775552,Directory,clinic,9775540,clinic,,/Users/starver/code/public/cpython/Python/clinic,288,501,20,1545241637,1545524452,1545241637
