id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified
9768633,Directory,cpython,,cpython,,/Users/starver/code/public/cpython,1120,501,20,1545241637,1545517163,1545241637
9775304,Directory,PC,9768633,PC,,/Users/starver/code/public/cpython/PC,1440,501,20,1545241637,1545517163,1545241637
9773911,Directory,Misc,9768633,Misc,,/Users/starver/code/public/cpython/Misc,768,501,20,1545241637,1545517163,1545241637
9771506,Directory,Grammar,9768633,Grammar,,/Users/starver/code/public/cpython/Grammar,96,501,20,1545241636,1545517163,1545241636
9775624,Directory,Tools,9768633,Tools,,/Users/starver/code/public/cpython/Tools,768,501,20,1545241637,1545517163,1545241637
9770904,Directory,.azure-pipelines,9768633,.azure-pipelines,,/Users/starver/code/public/cpython/.azure-pipelines,384,501,20,1545241636,1545517163,1545241636
9775540,Directory,Python,9768633,Python,,/Users/starver/code/public/cpython/Python,2464,501,20,1545241637,1545517163,1545241637
9771508,Directory,Include,9768633,Include,,/Users/starver/code/public/cpython/Include,3328,501,20,1545241636,1545517163,1545241636
9775213,Directory,Objects,9768633,Objects,,/Users/starver/code/public/cpython/Objects,1664,501,20,1545241637,1545517163,1545241637
9775512,Directory,Parser,9768633,Parser,,/Users/starver/code/public/cpython/Parser,768,501,20,1545241637,1545517163,1545241637
9773821,Directory,Mac,9768633,Mac,,/Users/starver/code/public/cpython/Mac,352,501,20,1545241637,1545517163,1545241637
9775535,Directory,Programs,9768633,Programs,,/Users/starver/code/public/cpython/Programs,192,501,20,1545241637,1545517163,1545241637
9775403,Directory,PCbuild,9768633,PCbuild,,/Users/starver/code/public/cpython/PCbuild,3520,501,20,1545241637,1545517163,1545241637
9770916,Directory,.github,9768633,.github,,/Users/starver/code/public/cpython/.github,224,501,20,1545241636,1545517163,1545241636
9771638,Directory,Lib,9768633,Lib,,/Users/starver/code/public/cpython/Lib,6528,501,20,1545241637,1545517163,1545241637
9775970,Directory,m4,9768633,m4,,/Users/starver/code/public/cpython/m4,128,501,20,1545241637,1545517164,1545241637
9770925,Directory,Doc,9768633,Doc,,/Users/starver/code/public/cpython/Doc,896,501,20,1545241636,1545517164,1545241636
9768634,Directory,.git,9768633,.git,,/Users/starver/code/public/cpython/.git,448,501,20,1545241684,1545517164,1545241684
9768664,Directory,objects,9768634,objects,,/Users/starver/code/public/cpython/.git/objects,128,501,20,1545241485,1545517164,1545241485
9768665,Directory,pack,9768664,pack,,/Users/starver/code/public/cpython/.git/objects/pack,128,501,20,1545241636,1545517164,1545241636
9768666,Directory,info,9768664,info,,/Users/starver/code/public/cpython/.git/objects/info,64,501,20,1545241485,1545524451,1545241485
9768635,Directory,info,9768634,info,,/Users/starver/code/public/cpython/.git/info,96,501,20,1545241485,1545517164,1545241485
9770890,Directory,logs,9768634,logs,,/Users/starver/code/public/cpython/.git/logs,128,501,20,1545241636,1545517164,1545241636
9770891,Directory,refs,9770890,refs,,/Users/starver/code/public/cpython/.git/logs/refs,128,501,20,1545241636,1545517164,1545241636
9770899,Directory,heads,9770891,heads,,/Users/starver/code/public/cpython/.git/logs/refs/heads,96,501,20,1545241636,1545517164,1545241636
9770892,Directory,remotes,9770891,remotes,,/Users/starver/code/public/cpython/.git/logs/refs/remotes,96,501,20,1545241636,1545517164,1545241636
9770893,Directory,origin,9770892,origin,,/Users/starver/code/public/cpython/.git/logs/refs/remotes/origin,96,501,20,1545241636,1545517164,1545241636
9768638,Directory,hooks,9768634,hooks,,/Users/starver/code/public/cpython/.git/hooks,416,501,20,1545241485,1545517164,1545241485
9768651,Directory,refs,9768634,refs,,/Users/starver/code/public/cpython/.git/refs,160,501,20,1545241636,1545517164,1545241636
9768652,Directory,heads,9768651,heads,,/Users/starver/code/public/cpython/.git/refs/heads,96,501,20,1545241636,1545517164,1545241636
9768653,Directory,tags,9768651,tags,,/Users/starver/code/public/cpython/.git/refs/tags,64,501,20,1545241485,1545524451,1545241485
9770887,Directory,remotes,9768651,remotes,,/Users/starver/code/public/cpython/.git/refs/remotes,96,501,20,1545241636,1545517164,1545241636
9770888,Directory,origin,9770887,origin,,/Users/starver/code/public/cpython/.git/refs/remotes/origin,96,501,20,1545241636,1545517164,1545241636
9768650,Directory,branches,9768634,branches,,/Users/starver/code/public/cpython/.git/branches,64,501,20,1545241485,1545524451,1545241485
9774794,Directory,Modules,9768633,Modules,,/Users/starver/code/public/cpython/Modules,4096,501,20,1545241637,1545517164,1545241637
